OBJECTID	NUTS_ID	CNTR_CODE	NUTS_NAME	NAME_LATN	NAME_ASCI	NAME_HTML
888	HR016	HR	Međimurska županija	Međimurska županija	Medjimurska zupanija	Me&#x0111;imurska &#x017E;upanija
889	HR02	HR	Središnja i Istočna (Panonska) Hrvatska	Središnja i Istočna (Panonska) Hrvatska	Sredisnja i Istocna (Panonska) Hrvatska	Sredi&#x0161;nja i Isto&#x010D;na (Panonska) Hrvatska
890	HR021	HR	Bjelovarsko-bilogorska županija	Bjelovarsko-bilogorska županija	Bjelovarsko-bilogorska zupanija	Bjelovarsko-bilogorska &#x017E;upanija
891	HR022	HR	Virovitičko-podravska županija	Virovitičko-podravska županija	Viroviticko-podravska zupanija	Viroviti&#x010D;ko-podravska &#x017E;upanija
892	HR023	HR	Požeško-slavonska županija	Požeško-slavonska županija	Pozesko-slavonska zupanija	Po&#x017E;e&#x0161;ko-slavonska &#x017E;upanija
893	HR024	HR	Brodsko-posavska županija	Brodsko-posavska županija	Brodsko-posavska zupanija	Brodsko-posavska &#x017E;upanija
894	HR025	HR	Osječko-baranjska županija	Osječko-baranjska županija	Osjecko-baranjska zupanija	Osje&#x010D;ko-baranjska &#x017E;upanija
895	HR026	HR	Vukovarsko-srijemska županija	Vukovarsko-srijemska županija	Vukovarsko-srijemska zupanija	Vukovarsko-srijemska &#x017E;upanija
896	HR027	HR	Karlovačka županija	Karlovačka županija	Karlovacka zupanija	Karlova&#x010D;ka &#x017E;upanija
897	HR028	HR	Sisačko-moslavačka županija	Sisačko-moslavačka županija	Sisacko-moslavacka zupanija	Sisa&#x010D;ko-moslava&#x010D;ka &#x017E;upanija
898	HR03	HR	Jadranska Hrvatska	Jadranska Hrvatska	Jadranska Hrvatska	Jadranska Hrvatska
899	HR031	HR	Primorsko-goranska županija	Primorsko-goranska županija	Primorsko-goranska zupanija	Primorsko-goranska &#x017E;upanija
900	HR032	HR	Ličko-senjska županija	Ličko-senjska županija	Licko-senjska zupanija	Li&#x010D;ko-senjska &#x017E;upanija
901	HR033	HR	Zadarska županija	Zadarska županija	Zadarska zupanija	Zadarska &#x017E;upanija
902	FI2	FI	Åland	Åland	Aland	&#x00C5;land
903	FI20	FI	Åland	Åland	Aland	&#x00C5;land
904	FI200	FI	Åland	Åland	Aland	&#x00C5;land
905	FR	FR	France	France	France	France
906	FR1	FR	Île de France	Île de France	Ile de France	&#x00CE;le de France
